         0, 2147483647,  1006, 2.16218128115073013E+304
         1,     130816,  1006, 2.16218128115073013E+304
         2,     130816,  1006, 2.16218128115073013E+304
         3,     130816,  1006, 2.16218128115073013E+304
         4,     130816,  1006, 2.16218128115073013E+304
         5,     130816,  1006, 2.16218128115073013E+304
         6,     130816,  1006, 2.16218128115073013E+304
         7,     130816,  1006, 2.16218128115073013E+304
         8,     130816,  1006, 2.16218128115073013E+304
         9,     130777,  1006, 2.16218128115073013E+304
        10,      91019,  1006, 2.16218128115073013E+304
        11,      21889,  1006, 2.16218128115073013E+304
        12,       1445,  1006, 2.16218128115073013E+304
        13,          0,  1006, 2.16218128115073013E+304
13,  1006,    1291658, 3.59752747489840375E-014
