         0, 2147483647,  1006, 2.16218128115073013E+304
         1,     130816,  1006, 2.16218128115073013E+304
         2,     130816,  1006, 2.16218128115073013E+304
         3,     130816,  1006, 2.16218128115073013E+304
         4,     130816,  1006, 2.16218128115073013E+304
         5,     130816,  1006, 2.16218128115073013E+304
         6,     130816,  1006, 2.16218128115073013E+304
         7,     130816,  1006, 2.16218128115073013E+304
         8,     130785,  1006, 2.16218128115073013E+304
         9,      82354,  1006, 2.16218128115073013E+304
        10,      15939,  1006, 2.16218128115073013E+304
        11,        686,  1006, 2.16218128115073013E+304
        12,          0,  1006, 2.16218128115073013E+304
12,  1006,    1145476, 2.71912193409136621E-014
