         0, 2147483647,  1006, 1.65742186373397939E+304
         1,     130816,  1006, 1.65742186373397939E+304
         2,     130816,  1006, 1.65742186373397939E+304
         3,     130816,  1006, 1.65742186373397939E+304
         4,     130816,  1006, 1.65742186373397939E+304
         5,     130816,  1006, 1.65742186373397939E+304
         6,     130816,  1006, 1.65742186373397939E+304
         7,     130804,  1006, 1.65742186373397939E+304
         8,     113062,  1006, 1.65742186373397939E+304
         9,      22169,  1006, 1.65742186373397939E+304
        10,       3687,  1006, 1.65742186373397939E+304
        11,        100,  1006, 1.65742186373397939E+304
        12,          0,  1006, 1.65742186373397939E+304
12,  1006,    1054718, 2.20609039152370291E-014
