"TRANSF", "SWEEP", "off(A)"
      40448,  1, 2.03304975291008873E+002
      40704,  1, 2.00100103808593957E+002
      40960,  1, 1.96523310922536496E+002
      41216,  1, 1.92272955262526835E+002
      41472,  1, 1.87948387638933781E+002
      41728,  1, 1.84015265888812451E+002
      41984,  1, 1.80206791107399624E+002
      42240,  1, 1.77035313852615332E+002
      42496,  1, 1.72770354926083940E+002
      42752,  1, 1.68573283091110710E+002
      43008,  1, 1.65683079495581268E+002
      43264,  1, 1.62227870759510807E+002
      43520,  1, 1.58880834274578916E+002
      43776,  1, 1.55589318713678523E+002
      44032,  1, 1.52566331158274181E+002
      44288,  1, 1.49732076406417775E+002
      44544,  1, 1.46153221134302356E+002
      44800,  1, 1.42973113484888245E+002
      45056,  1, 1.40220685540790896E+002
      45312,  1, 1.37304308948921914E+002
      45568,  1, 1.34662394236614688E+002
      45824,  1, 1.31920917448794768E+002
      46080,  1, 1.29214489678035761E+002
      46336,  1, 1.27138030830793753E+002
      46592,  1, 1.25043700171031873E+002
      46848,  1, 1.22587816331677601E+002
      47104,  1, 1.20192886488696132E+002
      47360,  1, 1.18135640008060037E+002
      47616,  1, 1.16328216575222967E+002
      47872,  1, 1.14351102269482851E+002
      48128,  1, 1.12242753198915466E+002
      48384,  1, 1.10626092473786770E+002
      48640,  1, 1.09402206611946355E+002
      48896,  1, 1.07766592287749532E+002
      49152,  1, 1.06073446649773487E+002
      49408,  1, 1.04410157628343285E+002
      49664,  1, 1.02708278581412543E+002
      49920,  1, 1.00677678702459957E+002
      50176,  1, 9.88191239630463372E+001
      50432,  1, 9.74602582048616739E+001
      50688,  1, 9.59897051694005654E+001
      50944,  1, 9.45805422440269012E+001
      51200,  1, 9.32936921794652392E+001
      51456,  1, 9.18648396896355450E+001
      51712,  1, 9.07046592658089708E+001
      51968,  1, 8.95233796617555129E+001
      52224,  1, 8.83825972647476306E+001
      52480,  1, 8.73687165731436721E+001
      52736,  1, 8.64384676058341341E+001
      52992,  1, 8.52355828819461294E+001
      53248,  1, 8.44084980134691278E+001
      53504,  1, 8.34084963861478315E+001
      53760,  1, 8.24316658311132215E+001
      54016,  1, 8.14891847224405836E+001
      54272,  1, 8.04353210994330823E+001
      54528,  1, 7.95219309918751378E+001
      54784,  1, 7.86212311026704214E+001
      55040,  1, 7.77406795866701117E+001
      55296,  1, 7.68610726558721069E+001
      55552,  1, 7.60465448704680824E+001
      55808,  1, 7.51357550571414237E+001
      56064,  1, 7.42865346765759682E+001
      56320,  1, 7.35445195287522751E+001
      56576,  1, 7.27268262021527505E+001
      56832,  1, 7.19148224737579369E+001
      57088,  1, 7.10751792193765226E+001
      57344,  1, 7.04397049298299862E+001
      57600,  1, 6.97904720736095783E+001
      57856,  1, 6.91725506121001104E+001
      58112,  1, 6.84783906540346123E+001
      58368,  1, 6.78498804701094258E+001
      58624,  1, 6.71906117579573703E+001
      58880,  1, 6.67138005951136250E+001
      59136,  1, 6.61285319411654768E+001
      59392,  1, 6.56183853973076339E+001
      59648,  1, 6.50644137007507197E+001
      59904,  1, 6.44878221643714795E+001
      60160,  1, 6.39509448842303527E+001
      60416,  1, 6.34776113108700528E+001
      60672,  1, 6.28867991506717701E+001
      60928,  1, 6.24854128620610751E+001
      61184,  1, 6.21850093987198633E+001
      61440,  1, 6.17531275628051830E+001
      61696,  1, 6.13388609289244187E+001
      61952,  1, 6.09611893093808206E+001
      62208,  1, 6.06509477400772070E+001
      62464,  1, 6.02733315335717634E+001
      62720,  1, 5.99131311717932888E+001
      62976,  1, 5.95699247852958820E+001
      63232,  1, 5.91969163116743360E+001
      63488,  1, 5.88804964403759143E+001
      63744,  1, 5.85783053797004172E+001
      64000,  1, 5.82970407922497103E+001
      64256,  1, 5.80199721931663390E+001
      64512,  1, 5.77312094202418749E+001
      64768,  1, 5.74077450239870402E+001
      65024,  1, 5.70709365637700188E+001
      65280,  1, 5.68269289994579339E+001
      65536,  1, 5.64908710596799466E+001
      65792,  1, 5.62310074997978546E+001
      66048,  1, 5.58799885048855316E+001
      66304,  1, 5.56575186767794960E+001
      66560,  1, 5.53738522661381083E+001
