"TRANSF", "SWEEP", "off(A)"
      40448,  1, 3.20980019416527702E+002
      40704,  1, 3.16012645360127298E+002
      40960,  1, 3.15915455645456954E+002
      41216,  1, 3.15840831179427543E+002
      41472,  1, 3.15764392231601400E+002
      41728,  1, 3.15701819377794013E+002
      41984,  1, 3.15619216360241938E+002
      42240,  1, 3.15542000502906118E+002
      42496,  1, 3.15083914010264231E+002
      42752,  1, 3.09889850702128652E+002
      43008,  1, 3.09376243062511651E+002
      43264,  1, 3.09302063308718438E+002
      43520,  1, 3.05824932023221298E+002
      43776,  1, 3.03157571775372311E+002
      44032,  1, 2.98184646962256730E+002
      44288,  1, 2.96627331988786078E+002
      44544,  1, 2.93093418476333804E+002
      44800,  1, 2.93025678610728160E+002
      45056,  1, 2.92415227337083825E+002
      45312,  1, 2.87383007001269025E+002
      45568,  1, 2.87323538216879064E+002
      45824,  1, 2.86930818276970573E+002
      46080,  1, 2.82498349776621450E+002
      46336,  1, 2.82235281498838405E+002
      46592,  1, 2.82143593661884743E+002
      46848,  1, 2.79060464583169373E+002
      47104,  1, 2.77856929689645389E+002
      47360,  1, 2.77785458150706992E+002
      47616,  1, 2.75858570280631892E+002
      47872,  1, 2.73397948187204889E+002
      48128,  1, 2.69901487951382580E+002
      48384,  1, 2.69770546671640055E+002
      48640,  1, 2.69705380767410546E+002
      48896,  1, 2.69610059388892817E+002
      49152,  1, 2.69158327929594051E+002
      49408,  1, 2.65464424506520095E+002
      49664,  1, 2.65379635641004713E+002
      49920,  1, 2.65296443795588819E+002
      50176,  1, 2.65207493551710935E+002
      50432,  1, 2.63308293636328551E+002
      50688,  1, 2.60889501416687074E+002
      50944,  1, 2.57898003259866996E+002
      51200,  1, 2.56759958402515721E+002
      51456,  1, 2.53933137905265027E+002
      51712,  1, 2.53857152783181940E+002
      51968,  1, 2.53331058168159137E+002
      52224,  1, 2.49872870091275882E+002
      52480,  1, 2.49788740302253705E+002
      52736,  1, 2.49721233246896306E+002
      52992,  1, 2.49647725475791457E+002
      53248,  1, 2.47552929081661110E+002
      53504,  1, 2.44892900557804822E+002
      53760,  1, 2.41145253332005958E+002
      54016,  1, 2.39519362477634881E+002
      54272,  1, 2.37427126307954557E+002
      54528,  1, 2.34607599548445951E+002
      54784,  1, 2.33456988437564366E+002
      55040,  1, 2.31460721266293790E+002
      55296,  1, 2.31392137878943706E+002
      55552,  1, 2.30331220039426309E+002
      55808,  1, 2.28108856587928952E+002
      56064,  1, 2.25630552121216096E+002
      56320,  1, 2.24557503937996198E+002
      56576,  1, 2.21917819962693869E+002
      56832,  1, 2.19147410546018796E+002
      57088,  1, 2.18711216904465153E+002
      57344,  1, 2.18642360356470918E+002
      57600,  1, 2.18560948282419105E+002
      57856,  1, 2.17715597127916993E+002
      58112,  1, 2.15783583030207143E+002
      58368,  1, 2.13121648515793527E+002
      58624,  1, 2.12000318558092926E+002
      58880,  1, 2.10461652707521645E+002
      59136,  1, 2.10383743664328944E+002
      59392,  1, 2.09255805423587649E+002
      59648,  1, 2.07578077421536769E+002
      59904,  1, 2.05686593693605604E+002
      60160,  1, 2.05622076320575692E+002
      60416,  1, 2.05382592678381621E+002
      60672,  1, 2.03010339303027353E+002
      60928,  1, 2.01700384584558380E+002
      61184,  1, 2.00436598334500582E+002
      61440,  1, 1.98628358261954736E+002
      61696,  1, 1.98532616479049763E+002
      61952,  1, 1.98470045308073449E+002
      62208,  1, 1.98400990620242331E+002
      62464,  1, 1.98322071379049267E+002
      62720,  1, 1.97810009811652952E+002
      62976,  1, 1.96022722458106557E+002
      63232,  1, 1.94126783614032316E+002
      63488,  1, 1.92920633492391001E+002
      63744,  1, 1.91516268525093941E+002
      64000,  1, 1.89598602410997518E+002
      64256,  1, 1.89505783745831151E+002
      64512,  1, 1.89453313338125744E+002
      64768,  1, 1.89393481212479878E+002
      65024,  1, 1.88205767517119513E+002
      65280,  1, 1.87861947205418828E+002
      65536,  1, 1.87786261987284767E+002
      65792,  1, 1.87717555954569909E+002
      66048,  1, 1.86997660561651782E+002
      66304,  1, 1.86184913104948661E+002
      66560,  1, 1.84746754776373549E+002
      66816,  1, 1.83581325648574506E+002
      67072,  1, 1.83190893991055635E+002
      67328,  1, 1.83082192450327440E+002
      67584,  1, 1.81741435600624877E+002
      67840,  1, 1.81632498815526313E+002
      68096,  1, 1.81395023397015429E+002
      68352,  1, 1.80255793602957808E+002
      68608,  1, 1.80191968545969962E+002
      68864,  1, 1.80127641231406470E+002
      69120,  1, 1.79931302069236841E+002
      69376,  1, 1.78349261572357503E+002
      69632,  1, 1.77511488775382811E+002
      69888,  1, 1.76795813289299221E+002
      70144,  1, 1.75911591104881522E+002
      70400,  1, 1.75828256768025184E+002
      70656,  1, 1.75747849216824736E+002
      70912,  1, 1.75520488824841532E+002
      71168,  1, 1.74472217182907794E+002
      71424,  1, 1.73621227384348551E+002
      71680,  1, 1.73457811939001050E+002
      71936,  1, 1.73176884587924466E+002
      72192,  1, 1.72217124164837739E+002
      72448,  1, 1.71242561652446627E+002
      72704,  1, 1.70551508069197045E+002
      72960,  1, 1.69878024913533283E+002
      73216,  1, 1.68993251937676859E+002
      73472,  1, 1.68939250210146001E+002
      73728,  1, 1.68870060972599792E+002
      73984,  1, 1.68704983081214466E+002
      74240,  1, 1.67936620619161167E+002
      74496,  1, 1.67876660393484882E+002
      74752,  1, 1.67188941892606698E+002
      75008,  1, 1.66651910567441813E+002
      75264,  1, 1.65928719348816501E+002
      75520,  1, 1.65057295021118532E+002
      75776,  1, 1.64470550695671211E+002
      76032,  1, 1.64290776767269087E+002
      76288,  1, 1.64195448921225873E+002
      76544,  1, 1.63593569205130458E+002
      76800,  1, 1.62998970924094619E+002
      77056,  1, 1.62901944985785302E+002
      77312,  1, 1.62675374948203881E+002
      77568,  1, 1.62087503190553037E+002
      77824,  1, 1.62046022797354672E+002
      78080,  1, 1.61976542536563741E+002
      78336,  1, 1.61677683372123600E+002
      78592,  1, 1.61175644518505416E+002
      78848,  1, 1.60596139393036137E+002
      79104,  1, 1.60113806491980336E+002
      79360,  1, 1.60069137390074687E+002
      79616,  1, 1.59825446286600083E+002
      79872,  1, 1.59382309899426809E+002
      80128,  1, 1.58948642682183359E+002
      80384,  1, 1.58880637976653831E+002
      80640,  1, 1.58824392259459963E+002
      80896,  1, 1.58775583798533263E+002
      81152,  1, 1.58664437879947325E+002
      81408,  1, 1.58344609174527015E+002
      81664,  1, 1.58307168363561764E+002
      81920,  1, 1.57844411594331287E+002
      82176,  1, 1.57476508770522143E+002
      82432,  1, 1.57301738010156401E+002
      82688,  1, 1.57182527462108454E+002
      82944,  1, 1.56783588014190267E+002
      83200,  1, 1.56370978390056016E+002
      83456,  1, 1.56093332850095052E+002
      83712,  1, 1.55840658083079494E+002
      83968,  1, 1.55565617144251209E+002
      84224,  1, 1.55289523106848539E+002
      84480,  1, 1.55256933495551345E+002
      84736,  1, 1.54886800686198691E+002
      84992,  1, 1.54631251998942601E+002
      85248,  1, 1.54426737551952878E+002
      85504,  1, 1.54197599054450934E+002
      85760,  1, 1.53924673724148504E+002
      86016,  1, 1.53882342269599676E+002
      86272,  1, 1.53672954642786348E+002
      86528,  1, 1.53621638134560972E+002
      86784,  1, 1.53418986453867513E+002
      87040,  1, 1.53145153468800912E+002
      87296,  1, 1.53020656190934337E+002
      87552,  1, 1.52929431201034417E+002
      87808,  1, 1.52711973383946262E+002
      88064,  1, 1.52568406075294670E+002
      88320,  1, 1.52510643014645535E+002
      88576,  1, 1.52339033271885661E+002
      88832,  1, 1.52287882935022446E+002
      89088,  1, 1.52233925084494144E+002
      89344,  1, 1.52118696426539174E+002
