"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
   1,    0,          1,           0,  1022,       0.000339, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1019,       0.000382, 0.00000000000000000E+000, 6.35479796859548050E-017, 8.24533142783090314E-017, 1.85851939460065582E-016, 1.53320613104304611E-016
   4,    2,          5,          19,  1019,       0.000656, 7.08821054248667926E-016, 4.76899576153753838E-016, 2.85887349467786738E-016, 3.76366461002699143E-016, 8.82149349611504114E-016
   8,    4,          6,         122,  1018,       0.001610, 1.28328695803200834E-015, 1.08798519250933640E-015, 9.67484172559559327E-016, 7.74575499747523961E-016, 2.51579299506613184E-015
  16,    8,          7,         608,  1017,       0.005962, 2.22044604925031426E-015, 5.83424140202526041E-015, 1.69662570445098506E-015, 1.51309735500630651E-015, 1.28113808688616313E-014
  32,   16,          8,        2855,  1016,       0.026355, 4.11447237751782899E-015, 1.32054693296645887E-014, 2.83257600479992979E-015, 2.88989240848655504E-015, 3.76357738486966502E-014
  64,   32,          9,       12937,  1015,       0.132841, 6.85722681968577953E-015, 2.87938038004066352E-014, 3.65498597390241896E-015, 1.37684076460197239E-014, 1.17075301049703991E-013
 128,   64,         11,       57242,  1013,       0.763662, 1.40911233618447696E-014, 8.89395831132723135E-014, 7.68081796059027583E-015, 2.57930992639978401E-014, 4.44543422750279972E-013
 256,  128,         11,      255998,  1012,       4.552794, 2.45583419626512892E-014, 2.47740913643875711E-013, 1.12716962256338139E-014, 6.56886414712016581E-014, 1.43500032120163896E-012
 512,  256,         13,     1088596,  1011,      32.646211, 4.87572066226574893E-014, 5.51277366148479659E-013, 2.37760214649588845E-014, 2.57213362185943588E-013, 5.60902408475317128E-012
1024,  512,         14,     4713455,  1010,     240.408853, 9.84596883831722686E-014, 1.56990618628302541E-012, 6.15202908574180147E-014, 5.81815189030162851E-013, 1.91969702336115096E-011
2048, 1024,         16,    19651493,  1009,    1913.821831, 1.61132012670324098E-013, 5.11117356686797807E-012, 8.24981783348457076E-014, 2.09830591804257078E-012, 7.07191019055903363E-011
4096, 2048,         18,    83048254,  1007,   16213.604268, 3.78571386497170699E-013, 1.34740901736126643E-011, 2.40359541270373932E-013, 7.44562691705378546E-012, 4.59064180720638068E-010
