"j", "ReΣj"
          1, 1.05637955841284667E-015
          2, 1.17511432567521079E-015
          3, 1.87023353082354414E-015
          4, 1.41007370567799398E-015
          5, 6.46887982883754147E-017
          6, 1.72738981469374219E-015
          7, 2.39263100438292254E-016
          8, 1.57051895919531723E-015
          9, 4.58123341709591968E-016
         10, 2.74982569338510267E-016
         11, 5.11969108635406098E-016
         12, 1.25343619287027608E-016
         13, 9.35626020746316287E-017
         14, 9.95945743060379492E-016
         15, 7.72972212236997434E-016
         16, 1.32807669922218224E-015
         17, 1.24068781692936805E-016
         18, 3.41151471274825535E-015
         19, 7.72770929202666692E-016
         20, 2.38575492788254672E-015
         21, 1.37600509560224037E-016
         22, 1.64023576240627581E-015
         23, 9.08729460331178156E-017
         24, 3.50262449065563294E-017
         25, 1.91938104072550339E-015
         26, 3.49349651397476127E-016
         27, 1.07343248311851381E-015
         28, 2.07873841172193014E-015
         29, 1.89083219564352354E-015
         30, 5.11301402614259996E-017
         31, 4.48712282262528838E-016
         32, 1.74383619030617984E-015
         33, 3.08205114975473787E-015
         34, 1.69913601246014020E-015
         35, 1.02478625060638882E-015
         36, 2.03510414784976349E-015
         37, 1.87257264225996338E-016
         38, 1.53900078414852106E-016
         39, 2.92578048710702923E-015
         40, 7.19263524872066417E-016
         41, 1.41037652016806966E-015
         42, 1.69636808027976079E-015
         43, 2.48190494867284758E-016
         44, 9.21885444354318837E-016
         45, 3.18657852414770213E-016
         46, 5.40459782372991151E-017
         47, 9.34691676337311621E-016
         48, 1.53490002470522768E-015
         49, 1.91165753981849418E-015
         50, 1.18114531480266302E-015
         51, 8.59897162003224655E-016
         52, 4.11416442163258884E-016
         53, 6.57514089705743012E-016
         54, 2.94326748337655587E-016
         55, 1.14128088758470563E-015
         56, 2.25184547531362805E-016
         57, 1.43177117315039666E-015
         58, 2.26866760587260232E-015
         59, 1.38839210421018485E-015
         60, 3.03719042740611311E-016
         61, 1.71045899522031896E-015
         62, 2.32189955374306434E-015
         63, 1.44419604134578941E-015
         64, 3.96350734279193965E-016
         65, 1.39500667066483656E-015
         66, 8.16540022720826176E-016
         67, 6.30680504252345079E-016
         68, 2.03187050163194883E-015
         69, 1.99677999950077063E-015
         70, 6.74669014383828197E-016
         71, 5.39079887099461393E-016
         72, 1.40986440335429514E-015
         73, 1.96275423869690416E-015
         74, 4.81149213619707673E-016
         75, 3.10972320475371949E-016
         76, 1.12902678874953149E-017
         77, 1.78495290989893293E-015
         78, 2.17600473383652107E-015
         79, 1.94233943319389431E-015
         80, 4.87975074194312783E-016
         81, 1.18759507717780525E-015
         82, 8.17409590629460889E-016
         83, 1.51716869401124154E-015
         84, 1.31558069909810360E-016
         85, 1.31432038734608964E-015
         86, 3.42311058464653965E-016
         87, 1.10134135715758350E-015
         88, 6.13569283972883044E-016
         89, 9.40944751247947970E-016
         90, 6.81264812554132396E-016
         91, 7.89752293742620054E-016
         92, 3.57195765257395935E-016
         93, 1.16779330683528528E-015
         94, 3.80243748189496375E-017
         95, 2.25845867559942697E-016
         96, 2.82854489698790011E-016
         97, 1.70706966094551548E-015
         98, 1.64733520991878907E-015
         99, 4.87763111155120340E-016
        100, 1.61158465503535813E-015
        101, 1.03256396545122177E-015
        102, 1.00972658332053896E-015
        103, 1.20526240628261008E-015
        104, 1.29986429167388810E-015
        105, 3.07379333472533016E-016
        106, 2.48217683805647725E-017
        107, 2.58395753928196572E-016
        108, 6.46625404332718196E-016
        109, 1.98055454592526090E-016
        110, 6.36844908349597884E-016
        111, 7.26539954835981595E-016
        112, 1.67617435203278701E-016
        113, 3.23251509114602006E-015
        114, 1.04347390392321025E-015
        115, 1.08845384593770236E-017
        116, 3.77159297729986236E-017
        117, 1.30491896287542980E-016
        118, 2.21554543944044628E-015
        119, 2.93946315029566060E-016
        120, 6.59230973662969796E-016
        121, 1.14621994828295266E-016
        122, 3.40219323078396324E-016
        123, 6.34039757380086919E-016
        124, 1.44678974595990413E-016
        125, 1.03352676760513331E-015
        126, 8.57850327461853415E-016
        127, 1.50412808330707432E-015
        128, 1.09270149971507736E-015
        129, 5.24048852989339802E-016
        130, 6.14061121518922444E-016
        131, 2.27499236859408301E-016
        132, 4.32212950345817553E-017
        133, 2.64275564958465425E-016
        134, 2.11950479466872132E-016
        135, 4.28257034687263413E-016
        136, 3.54710435268193154E-016
        137, 7.95872212498900278E-016
        138, 3.50541981052550949E-017
        139, 1.55800076932959803E-016
        140, 6.42842637127838329E-016
        141, 6.64383091757563598E-018
        142, 3.07509531772036669E-016
        143, 1.86956476037819543E-016
        144, 4.22259219616286543E-016
        145, 2.79854369203194332E-016
        146, 2.70001294285936236E-016
        147, 8.22066239929004418E-017
        148, 9.48947508389744799E-016
        149, 5.13122456225945272E-017
        150, 1.09162315311053042E-016
        151, 1.07808359404116393E-015
        152, 1.37397707597695357E-015
        153, 3.29966472247823611E-016
        154, 1.63306406134302175E-016
        155, 1.77998171466447573E-016
        156, 8.50029650477623914E-016
        157, 1.00639182236639560E-015
        158, 9.84693799196766383E-016
        159, 3.50879934289663153E-016
        160, 1.18167381065962482E-015
        161, 1.51501648422156148E-015
        162, 8.10456945603137322E-018
        163, 2.12946812768326177E-016
        164, 3.63772462317824548E-017
        165, 7.19868711170818516E-017
        166, 7.42039325837224338E-016
        167, 5.10102702692868260E-016
        168, 3.05610239693998544E-016
        169, 1.26844348312066863E-016
        170, 4.10201008483875264E-016
        171, 8.73062129481959424E-016
        172, 4.52624073022479442E-016
        173, 5.69677322611290927E-016
        174, 6.41502505262278688E-017
        175, 1.66371191424024059E-016
        176, 1.09420428198241449E-015
        177, 1.22048512057097509E-015
        178, 4.33989174941731507E-016
        179, 4.89094546189969456E-016
        180, 4.56338428261785151E-016
        181, 4.58046630900807598E-016
        182, 1.24801427695975764E-015
        183, 1.09331771710796280E-016
        184, 3.07438173640998016E-016
        185, 6.52617983682225815E-016
        186, 3.43775320832365836E-016
        187, 3.92250118615080126E-016
        188, 1.21013546291767148E-015
        189, 2.94899509319068452E-019
        190, 2.92223794526711955E-016
        191, 3.20972838421973639E-016
        192, 9.06111888868247982E-016
        193, 9.42601459610701981E-016
        194, 5.40631909124153594E-016
        195, 6.36338234738906835E-017
        196, 4.78125360742082428E-016
        197, 7.64230357155136370E-016
        198, 1.12673129809620197E-015
        199, 8.95306773864930069E-016
        200, 3.32707574228838007E-016
        201, 9.50923756510122143E-016
        202, 8.63168479119870116E-016
        203, 1.39820042117809517E-015
        204, 1.48438604784986106E-016
        205, 1.19713966971295809E-016
        206, 5.06412107357726662E-016
        207, 3.82197320516717469E-016
        208, 2.49852635654256264E-016
        209, 9.40148447813256849E-016
        210, 4.88156516046514773E-016
        211, 4.44247997389674880E-016
        212, 1.88295208503029564E-016
        213, 9.52741987146630362E-016
        214, 5.64196210740343168E-016
        215, 9.16105685689528611E-018
        216, 4.20694235368415428E-018
        217, 9.95047081703382620E-016
        218, 5.11043885171551321E-016
        219, 1.34534346047275355E-015
        220, 7.40763763507359741E-016
        221, 1.93252404177623472E-016
        222, 2.80094458744509052E-016
        223, 8.88576048108737195E-016
        224, 7.34033472362405879E-016
        225, 3.62325255397762778E-016
        226, 9.13638843673801438E-017
        227, 2.62819559529956420E-016
        228, 4.05268682263082506E-016
        229, 5.14798050704451072E-016
        230, 4.77615156521483762E-016
        231, 9.44976058871985746E-017
        232, 2.33572743749064288E-018
        233, 1.10960011864580891E-016
        234, 1.14923305003664021E-015
        235, 2.04629896712325446E-016
        236, 3.22325959092896626E-016
        237, 1.10003863281908595E-016
        238, 2.50050898999960711E-016
        239, 5.69862781636244785E-016
        240, 4.13976017111689926E-016
        241, 1.59883529229680015E-016
        242, 6.39545624092992884E-016
        243, 7.09651881782641408E-016
        244, 1.49506875624738875E-015
        245, 8.52187449462942327E-016
        246, 8.84872614158962989E-016
        247, 1.49345064274689781E-016
        248, 1.21672318638686953E-015
        249, 1.26383220856857349E-015
        250, 1.09538875859217858E-015
        251, 1.00979566914869321E-015
        252, 8.40738948107647646E-016
        253, 1.73554486618350623E-015
        254, 9.12639693344538936E-016
        255, 1.44966021589555112E-015
        256, 8.07565028948437303E-016
