"TRANSF", "SWEEP", "off(A)"
     101376,  1, 4.48827114650192628E+001
     101632,  1, 4.48019161484354724E+001
     101888,  1, 4.46964274214994788E+001
     102144,  1, 4.46404687684624193E+001
     102400,  1, 4.45764701714463978E+001
     102656,  1, 4.44922186330804206E+001
     102912,  1, 4.44317130536548481E+001
     103168,  1, 4.43490777513684469E+001
     103424,  1, 4.42971686114724400E+001
     103680,  1, 4.42371709059562527E+001
     103936,  1, 4.41890312547883779E+001
     104192,  1, 4.41405763450678467E+001
     104448,  1, 4.40985572811359836E+001
     104704,  1, 4.40501768657122075E+001
     104960,  1, 4.40125303332252903E+001
     105216,  1, 4.39763164283896692E+001
     105472,  1, 4.39383893590151290E+001
     105728,  1, 4.39012773294890636E+001
     105984,  1, 4.38792282751457648E+001
     106240,  1, 4.38495317778270975E+001
     106496,  1, 4.38169565230867386E+001
     106752,  1, 4.37938219790169695E+001
     107008,  1, 4.37729999937090852E+001
     107264,  1, 4.37586849043906238E+001
     107520,  1, 4.37405785382281736E+001
     107776,  1, 4.37236905441729644E+001
     108032,  1, 4.37074393712218581E+001
     108288,  1, 4.36942026975787652E+001
     108544,  1, 4.36778664433793263E+001
     108800,  1, 4.36638599881075027E+001
     109056,  1, 4.36501665628322949E+001
     109312,  1, 4.36365815777856866E+001
     109568,  1, 4.36260579521381887E+001
     109824,  1, 4.36111378691502222E+001
     110080,  1, 4.35997396471448966E+001
     110336,  1, 4.35911089538156138E+001
     110592,  1, 4.35831039052209122E+001
     110848,  1, 4.35727843617596469E+001
     111104,  1, 4.35659051878203955E+001
     111360,  1, 4.35605210720764029E+001
     111616,  1, 4.35530558908894447E+001
     111872,  1, 4.35465455954759244E+001
     112128,  1, 4.35407184046685826E+001
     112384,  1, 4.35355058305839593E+001
     112640,  1, 4.35285769339839223E+001
     112896,  1, 4.35232091314874234E+001
     113152,  1, 4.35168079901851021E+001
     113408,  1, 4.35083147334590730E+001
     113664,  1, 4.35029255573317812E+001
     113920,  1, 4.34975481257107573E+001
     114176,  1, 4.34933598779475387E+001
     114432,  1, 4.34888867208272428E+001
     114688,  1, 4.34842134040137873E+001
     114944,  1, 4.34815664600294499E+001
     115200,  1, 4.34779968303068329E+001
     115456,  1, 4.34742740782119547E+001
     115712,  1, 4.34706268145377039E+001
     115968,  1, 4.34672719786107945E+001
     116224,  1, 4.34644736917720648E+001
     116480,  1, 4.34615863461722554E+001
     116736,  1, 4.34588059771047684E+001
     116992,  1, 4.34559774801860432E+001
     117248,  1, 4.34529180527531770E+001
     117504,  1, 4.34490186432581330E+001
     117760,  1, 4.34458887967709701E+001
     118016,  1, 4.34432873987787515E+001
     118272,  1, 4.34401817242845176E+001
     118528,  1, 4.34382062094967321E+001
     118784,  1, 4.34356671547002276E+001
     119040,  1, 4.34331203189403740E+001
     119296,  1, 4.34308413883512098E+001
     119552,  1, 4.34289216351921118E+001
     119808,  1, 4.34269319256993325E+001
     120064,  1, 4.34246035862828184E+001
     120320,  1, 4.34221936027219851E+001
     120576,  1, 4.34198704858560006E+001
     120832,  1, 4.34178268243926963E+001
     121088,  1, 4.34161275939113383E+001
     121344,  1, 4.34144225300210825E+001
     121600,  1, 4.34124846936182728E+001
     121856,  1, 4.34106505819388773E+001
     122112,  1, 4.34085339191870469E+001
     122368,  1, 4.34064436549138540E+001
     122624,  1, 4.34043922125463329E+001
     122880,  1, 4.34027972581632930E+001
     123136,  1, 4.34010261495708858E+001
     123392,  1, 4.33990227866329428E+001
     123648,  1, 4.33975719712562482E+001
     123904,  1, 4.33957798464046368E+001
     124160,  1, 4.33943015467625588E+001
     124416,  1, 4.33928937591694688E+001
     124672,  1, 4.33913718553725162E+001
     124928,  1, 4.33895301605706927E+001
     125184,  1, 4.33881141873757757E+001
     125440,  1, 4.33865434743481431E+001
     125696,  1, 4.33848501746476770E+001
     125952,  1, 4.33832348553747839E+001
     126208,  1, 4.33817389351898649E+001
     126464,  1, 4.33802743117000395E+001
     126720,  1, 4.33788879132608732E+001
     126976,  1, 4.33772600021276906E+001
     127232,  1, 4.33759423741962201E+001
     127488,  1, 4.33744721657258063E+001
     127744,  1, 4.33731329937415040E+001
     128000,  1, 4.33717520657054913E+001
     128256,  1, 4.33705258380367290E+001
     128512,  1, 4.33692187641082204E+001
     128768,  1, 4.33679071540098799E+001
     129024,  1, 4.33666616346269999E+001
     129280,  1, 4.33654674493833754E+001
     129536,  1, 4.33641923505692782E+001
     129792,  1, 4.33631385455311180E+001
     130048,  1, 4.33619937927744675E+001
     130304,  1, 4.33609941069257990E+001
     130560,  1, 4.33599182104534055E+001
     130816,  1, 4.33590403118213097E+001
     130817,  2, 4.33548921793810900E+001
     131072,  2, 4.32176857596018217E+001
     131328,  2, 4.30723174214097487E+001
     131584,  2, 4.29792754124154474E+001
     131840,  2, 4.28220286299581504E+001
     132096,  2, 4.27390789278457457E+001
     132352,  2, 4.26314172775761433E+001
     132608,  2, 4.25222735863348319E+001
     132864,  2, 4.24389601392464489E+001
     133120,  2, 4.23865951722927110E+001
     133376,  2, 4.23396039177130857E+001
     133632,  2, 4.22866336577397762E+001
     133888,  2, 4.22336425559211561E+001
     134144,  2, 4.21900014080003551E+001
     134400,  2, 4.21547738289539666E+001
     134656,  2, 4.21230892571317628E+001
     134912,  2, 4.20997342486697241E+001
     135168,  2, 4.20674188802022629E+001
     135424,  2, 4.20432765433960651E+001
     135680,  2, 4.20153217959574587E+001
     135936,  2, 4.19970494553075975E+001
     136192,  2, 4.19738820491414895E+001
     136448,  2, 4.19509636279692857E+001
     136704,  2, 4.19359291976609281E+001
     136960,  2, 4.19217489724978222E+001
     137216,  2, 4.19059219511883102E+001
     137472,  2, 4.18837500278124867E+001
     137728,  2, 4.18725810241039167E+001
     137984,  2, 4.18603567951997115E+001
     138240,  2, 4.18504876957014181E+001
     138496,  2, 4.18430557034863035E+001
     138752,  2, 4.18338467208661294E+001
     139008,  2, 4.18281540933427354E+001
     139264,  2, 4.18206343490973497E+001
     139520,  2, 4.18138131936089263E+001
     139776,  2, 4.18073229408240070E+001
     140032,  2, 4.18001461831913030E+001
     140288,  2, 4.17941057397915302E+001
     140544,  2, 4.17876182859053944E+001
     140800,  2, 4.17829940832502845E+001
     141056,  2, 4.17783133305007920E+001
     141312,  2, 4.17719607324486246E+001
     141568,  2, 4.17670163977451990E+001
     141824,  2, 4.17624115060916378E+001
     142080,  2, 4.17575055906890979E+001
     142336,  2, 4.17540442712279748E+001
     142592,  2, 4.17491528695381831E+001
     142848,  2, 4.17453525931931971E+001
     143104,  2, 4.17420748259219401E+001
     143360,  2, 4.17398969327319221E+001
     143616,  2, 4.17355848857746673E+001
     143872,  2, 4.17316610742378854E+001
     144128,  2, 4.17293209558495707E+001
     144384,  2, 4.17262189264915192E+001
     144640,  2, 4.17233921572856863E+001
     144896,  2, 4.17206021163326822E+001
     145152,  2, 4.17178271509830471E+001
     145408,  2, 4.17150204575165690E+001
     145664,  2, 4.17125816869794525E+001
     145920,  2, 4.17097600773732394E+001
     146176,  2, 4.17072535638085908E+001
     146432,  2, 4.17052877529610264E+001
     146688,  2, 4.17028369843269856E+001
     146944,  2, 4.17005600957618642E+001
     147200,  2, 4.16981220779323625E+001
     147456,  2, 4.16961579727264147E+001
     147712,  2, 4.16944362919512748E+001
     147968,  2, 4.16923827520328650E+001
     148224,  2, 4.16905730665931013E+001
     148480,  2, 4.16884495597776878E+001
     148736,  2, 4.16869365269037097E+001
     148992,  2, 4.16851429446330395E+001
     149248,  2, 4.16834695321855339E+001
     149504,  2, 4.16816345510366908E+001
