"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
   1,    0,          1,           0,  1022,       0.000303, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000370, 2.22044604925031308E-016, 1.30034099109568142E-016, 6.21540475843595602E-017, 3.75995997916382999E-016, 1.27562966628937697E-016
   4,    2,          5,          20,  1020,       0.000714, 8.88178419700125430E-016, 2.66439103935123971E-016, 7.38741521401155780E-016, 3.22209458380841902E-016, 1.43859699346272772E-015
   8,    4,          6,         120,  1019,       0.001565, 1.54601367766067241E-015, 8.38168447170133822E-016, 1.00685490452528252E-015, 5.28452538025554592E-016, 3.60306560029015369E-015
  16,    8,          7,         579,  1018,       0.005605, 2.99192779332761497E-015, 3.43917560813000089E-015, 1.38189514272704710E-015, 1.40182713705927058E-015, 8.71428805646886867E-015
  32,   16,          8,        2861,  1016,       0.025231, 4.43839720613104610E-015, 6.21247893102358777E-015, 2.59821650598198005E-015, 3.34051805154617492E-015, 2.85134513990621643E-014
  64,   32,          9,       13474,  1015,       0.116768, 6.39513511941065869E-015, 1.30841709971078146E-014, 3.82423895605847008E-015, 9.32786989389913107E-015, 7.89426959586062814E-014
 128,   64,         11,       58908,  1014,       0.581862, 1.14537986584127001E-014, 5.23210457248474548E-014, 7.18813379084513866E-015, 3.08145600270266234E-014, 2.48193933657987208E-013
 256,  128,         12,      260808,  1013,       3.033914, 2.46339184592524056E-014, 9.29017063946762200E-014, 1.38280179305026020E-014, 6.53315470839725553E-014, 8.14394454536018434E-013
 512,  256,         13,     1099070,  1012,      16.792589, 4.08551515729117891E-014, 3.29998150355824281E-013, 2.36402264729499195E-014, 2.51630246326323184E-013, 2.91569650127144545E-012
1024,  512,         14,     4739832,  1011,     105.317465, 9.61062468124072050E-014, 1.03936223398452219E-012, 6.18091814765838974E-014, 7.56256488028638430E-013, 1.14237916398453602E-011
2048, 1024,         16,    19691953,  1010,     759.667016, 1.86214163357629584E-013, 3.59993226665683187E-012, 1.23964218642480779E-013, 1.88217689298980444E-012, 3.68738682884407565E-011
4096, 2048,         16,    82110484,  1008,    5438.957669, 3.32409689385008418E-013, 7.74123688897618707E-012, 2.21167233922742332E-013, 7.40421546951698276E-012, 1.46486893443101098E-010
