1..4096 
          1,           0,  1022,       0.000000, 0.00000000000000000E+000, 0.00000000000000000E+000
          3,           2,  1020,       0.000000, 0.00000000000000000E+000, 1.15033178617546913E-016
          5,          20,  1020,       0.000000, 7.08821054248667926E-016, 5.32717992552139242E-016
          6,         120,  1019,       0.000000, 1.23780876551561203E-015, 6.21277761096568446E-016
          7,         574,  1018,       0.000000, 2.21405108611856646E-015, 1.21937715408076644E-015
          8,        2757,  1017,       0.000000, 2.91509292861024922E-015, 1.90574646702588641E-015
          9,       12480,  1015,       0.015000, 6.93889390390724100E-015, 3.52449377007477210E-015
         11,       56254,  1014,       0.141000, 1.17742409641223804E-014, 6.42507830647965395E-015
         11,      243523,  1013,       1.094000, 2.64857375796427186E-014, 1.50142126884061580E-014
         13,     1054760,  1012,       9.156000, 4.23529758967102620E-014, 2.19125593381020430E-014
         14,     4469761,  1011,      78.219000, 8.02395103836725298E-014, 5.11240684443102354E-014
         15,    19069654,  1010,     666.266000, 1.76708556314175373E-013, 1.24840051130276224E-013
         17,    79005846,  1008,    5500.953000, 3.29840736638558093E-013, 2.04996272274421510E-013
