"j", "ReΣj"
        200, 5.75459939888569056E-016
        201, 1.10918643851972471E-016
        202, 8.34785763172021454E-018
        203, 1.39820042117809517E-015
        204, 2.81145374394926565E-016
        205, 1.07480103598711491E-015
        206, 1.15308375960153778E-015
        207, 1.04591137853105108E-015
        208, 1.39020569069163099E-015
        209, 1.82167178180334254E-016
        210, 1.07906451765676086E-015
        211, 2.05530533287409955E-016
        212, 2.43374759289630057E-017
        213, 5.62862756493313729E-016
        214, 5.00254773290927336E-017
        215, 8.63482870720850995E-016
        216, 5.60764725865669828E-016
        217, 4.46757198518199926E-016
        218, 5.32466536241554305E-017
        219, 8.37350701539058195E-017
        220, 4.19075004460906667E-016
        221, 1.67109505999748664E-017
        222, 1.04371726426734507E-015
        223, 1.05942804169262859E-016
        224, 2.27075102961032035E-016
        225, 1.68480318043926492E-017
        226, 6.47240991360492947E-016
        227, 1.50480510537116077E-016
        228, 1.37520721797652999E-015
        229, 6.39097320669402279E-016
        230, 1.99778084860786845E-016
        231, 4.38858988194996940E-016
        232, 1.51822283436891791E-016
        233, 5.70972368744462743E-016
        234, 1.20596616256879700E-016
        235, 2.04629896712325446E-016
        236, 8.69501735282643450E-016
        237, 5.46812206692869275E-016
        238, 4.21121107752227453E-016
        239, 2.71335846582747048E-016
        240, 4.13976017111689926E-016
        241, 5.19103444046389799E-016
        242, 6.39545624092992884E-016
        243, 2.28563813629430710E-016
        244, 7.31654770809408262E-016
        245, 6.52977325447406900E-016
        246, 2.82364577282230738E-016
        247, 2.84620911967995668E-016
        248, 1.37731151439616959E-015
        249, 1.41703305871053478E-015
        250, 1.98603358056962088E-015
        251, 6.67259597858171638E-016
        252, 1.18551935774410384E-015
        253, 1.54408804496380131E-015
        254, 3.45447879070935151E-016
        255, 1.44966021589555112E-015
        256, 1.24091841013182511E-015
        -33, 2.87918296325677225E-015
