"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-54, 1073741824, 3.321988420485649069281E-0014, 5.763688480358817958214E-0014, 1.792277430132720163430E-0014, 2.842170943040400743484E-0014, 5.107208594761112490718E-0014, 8.645532720538226937321E-0014, 3.321988420485649069281E-0014, 5.763688480358817958214E-0014, 4.999851658940404897649E-0001, 1.999999999999992894573E+0000, 4.905596516529192881696E-0001, 2.664931684712954133619E+0000
-53, 1073741824, 1.328038642489865308149E-0013, 2.281548387817814450234E-0013, 6.765207059774034297579E-0014, 1.136868377216160297394E-0013, 2.004065175178456357146E-0013, 3.422322581726721675352E-0013, 1.328038642489865308149E-0013, 2.281548387817814450234E-0013, 5.000226423144678847645E-0001, 1.999999999999971578291E+0000, 4.905170976110649113371E-0001, 2.665798892148960755453E+0000
-52, 1073741824, 5.307327607168460602242E-0013, 9.102728552385899354807E-0013, 2.666009742357394910015E-0013, 4.547473508864641189575E-0013, 7.973404863072210204714E-0013, 1.365409282857884903221E-0012, 5.307327607168460602242E-0013, 9.102728552385899354807E-0013, 4.999666288496397078809E-0001, 1.999999999999886313162E+0000, 4.904189694507005298242E-0001, 2.666232705941283502221E+0000
-51, 1073741824, 2.122331635028068703655E-0012, 3.638756211446208561728E-0012, 1.062375783921472231127E-0012, 1.818989403545856475830E-0012, 3.184692113910132899978E-0012, 5.458134317169312842592E-0012, 2.122331635028068703655E-0012, 3.638756211446208561728E-0012, 5.000542551284379478170E-0001, 1.999999999999545252649E+0000, 4.904935963084689399102E-0001, 2.666449670071679223180E+0000
-50, 1073741824, 8.488834283959243914908E-0012, 1.455269244575388719034E-0011, 4.245640218974019328239E-0012, 7.275957614183425903320E-0012, 1.273447130816876450022E-0011, 2.182903866863083078551E-0011, 8.488834283959243914908E-0012, 1.455269244575388719034E-0011, 5.000113490990171164421E-0001, 1.999999999998181010596E+0000, 4.904455934257436281206E-0001, 2.666558160618000607411E+0000
-49, 1073741824, 3.395509014669775848978E-0011, 5.820843808183835830401E-0011, 1.697876561549419212315E-0011, 2.910383045673370361328E-0011, 5.093385779831811701589E-0011, 8.731265712275753745601E-0011, 3.395509014669775848978E-0011, 5.820843808183835830401E-0011, 4.999679904516005166833E-0001, 1.999999999992720489672E+0000, 4.903905737434559070406E-0001, 2.666612413531859294169E+0000
-48, 1073741824, 1.358189081059518300196E-0010, 2.328314206075721380687E-0010, 6.791067542358454469460E-0011, 1.164153218269348144531E-0010, 2.037295852424359841046E-0010, 3.492471309113582071030E-0010, 1.358189081059518300196E-0010, 2.328314206075721380687E-0010, 5.000147763979235326918E-0001, 1.999999999970892616830E+0000, 4.904228200688258467280E-0001, 2.666639539448923891837E+0000
-47, 1073741824, 5.432756282367956638824E-0010, 9.313233515243839051243E-0010, 2.716390347070507262282E-0010, 4.656612873077392578125E-0010, 8.149146638131665639096E-0010, 1.396985027286575857686E-0009, 5.432756282367956638824E-0010, 9.313233515243839051243E-0010, 4.999955074357245513920E-0001, 1.999999999883581125459E+0000, 4.904042693127485125017E-0001, 2.666653101803916343440E+0000
-46, 1073741824, 2.173104477335618156350E-0009, 3.725291075434886166717E-0009, 1.086553459744931251041E-0009, 1.862645149230957031250E-0009, 3.259657936642786566740E-0009, 5.587936613152329250076E-0009, 2.173104477335618156350E-0009, 3.725291075434886166717E-0009, 4.999910058298582686962E-0001, 1.999999999534335159979E+0000, 4.904109299873028786242E-0001, 2.666659881477476379970E+0000
-45, 1073741824, 8.692481958046966616713E-0009, 1.490116196979751371391E-0008, 4.346242200364941286209E-0009, 7.450580596923828125000E-0009, 1.303872415836573574809E-0008, 2.235174295469627057086E-0008, 8.692481958046966616713E-0009, 1.490116196979751371391E-0008, 5.000204093132856747842E-0001, 1.999999998137347745342E+0000, 4.904302301644848279151E-0001, 2.666663262908200526990E+0000
