"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,       0.000000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000000, 0.00000000000000000E+000, 3.96904694630504904E-017
   4,    2,          5,          20,  1020,       0.000000, 8.88178419700125430E-016, 6.00229919439706718E-016
   8,    4,          6,         120,  1019,       0.000000, 8.88178419700125430E-016, 6.27231946782843477E-016
  16,    8,          7,         561,  1018,       0.000000, 2.43941704193403672E-015, 1.37955159617885699E-015
  32,   16,          8,        2803,  1016,       0.000000, 4.17172842411429610E-015, 2.32948198816145965E-015
  64,   32,          9,       12739,  1015,       0.063000, 7.84371903235489393E-015, 3.58665633228688771E-015
 128,   64,         10,       56481,  1014,       0.438000, 1.36132332979200356E-014, 7.25954096465892203E-015
 256,  128,         11,      244372,  1013,       3.703000, 2.54356383123943013E-014, 1.52081735016763323E-014
 512,  256,         12,     1058433,  1012,      31.735000, 3.90211094076507671E-014, 2.32888866527096846E-014
1024,  512,         14,     4472813,  1011,     272.047000, 7.92454048246217473E-014, 5.07253483438286229E-014
2048, 1024,         15,    19120256,  1010,    2330.188000, 1.86449499593796378E-013, 1.26332786364870427E-013
4096, 2048,         16,    79085610,  1008,   19388.136000, 3.66606834343159888E-013, 2.01081696870735438E-013
