"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,       0.015000, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000000, 0.00000000000000000E+000, 3.96904694630504904E-017
   4,    2,          5,          20,  1020,       0.000000, 4.44956557581470562E-016, 5.71047363198977169E-016
   8,    4,          6,         120,  1019,       0.000000, 1.81479986366094830E-015, 9.58966319704329364E-016
  16,    8,          7,         579,  1018,       0.000000, 2.58982472281701192E-015, 1.52532474964325445E-015
  32,   16,          8,        2862,  1016,       0.000000, 4.18061249616978078E-015, 2.28224953348952034E-015
  64,   32,          9,       13473,  1015,       0.016000, 7.68277459404593423E-015, 3.35828052036969860E-015
 128,   64,         11,       58907,  1014,       0.156000, 1.55913849193338098E-014, 8.12113203306971408E-015
 256,  128,         12,      260608,  1013,       1.375000, 2.54447839614927301E-014, 1.36845801616966871E-014
 512,  256,         13,     1103492,  1012,      11.250000, 4.42308310615973959E-014, 2.41145651752322156E-014
1024,  512,         15,     4734962,  1011,      95.906000, 1.02825333058285679E-013, 6.13847983920698087E-014
2048, 1024,         15,    19693508,  1010,     798.954000, 1.72946533306536173E-013, 1.23804400845796622E-013
4096, 2048,         17,    82203829,  1008,    6673.544000, 3.80815954228996547E-013, 2.21419874006688293E-013
