"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,    0.000515, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          3,           2,  1020,    0.000874, 4.44089209850062665E-016, 2.43479627493028202E-016
   4,    2,          5,          19,  1020,    0.001632, 7.08821054248667916E-016, 2.41000907390908311E-016
   8,    4,          6,         123,  1019,    0.004351, 1.13644239051060210E-015, 9.19889397383184432E-016
  16,    8,          7,         606,  1018,    0.019979, 3.23745836438109177E-015, 1.47115756436987348E-015
  32,   16,          8,        2852,  1017,    0.139062, 3.48508142880788924E-015, 2.45919049042412138E-015
  64,   32,          9,       13106,  1015,    1.150188, 5.77348147911146113E-015, 3.74280759682850491E-015
 128,   64,         11,       57708,  1014,    9.864556, 1.34419167288230644E-014, 7.61275639754345102E-015
 256,  128,         11,      256875,  1013,   85.437891, 2.41594929350687007E-014, 1.17356867370792773E-014
 512,  256,         13,     1089332,  1012,  731.488341, 5.32728675149576054E-014, 2.53292664498245138E-014
1024,  512,         14,     4709838,  1010, 6288.600749, 9.56850679551383637E-014, 6.05247392493730767E-014
