"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ"
   1,    0,          1,           0,  1022,       0.000605, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.001253, 2.22044604925031308E-016
   4,    2,          5,          20,  1020,       0.001494, 8.88178419700125430E-016
   8,    4,          6,         120,  1019,       0.002082, 1.33226762955018824E-015
  16,    8,          7,         573,  1018,       0.002827, 1.98332670668832092E-015
  32,   16,          8,        2755,  1016,       0.007786, 4.44089209850063089E-015
  64,   32,          9,       12482,  1015,       0.025947, 6.48271361080678710E-015
 128,   64,         10,       56251,  1014,       0.111780, 1.15917897368393347E-014
 256,  128,         12,      243525,  1013,       0.605482, 2.62012633811538647E-014
 512,  256,         12,     1054765,  1012,       3.320906, 4.18949354968924339E-014
1024,  512,         14,     4469830,  1011,      23.120926, 8.38196337569466974E-014
2048, 1024,         15,    19099857,  1010,     185.697948, 1.70541986499170362E-013
4096, 2048,         17,    78953756,  1008,    1481.608735, 3.67050869339592301E-013
