"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "||G-UΣV^-1||_F/||G||_F"
   1,    0,          1,           0,  1022,       0.000475, 0.00000000000000000E+000, 0.00000000000000000E+000
   2,    1,          2,           1,  1020,       0.000682, 0.00000000000000000E+000, 3.96904694630504887E-017
   4,    2,          5,          20,  1020,       0.001730, 8.88178419700125430E-016, 6.00229919439706676E-016
   8,    4,          6,         120,  1019,       0.003632, 8.88178419700125430E-016, 6.27231946782843485E-016
  16,    8,          7,         561,  1018,       0.012580, 2.43941704193403655E-015, 1.37955159617885706E-015
  32,   16,          8,        2803,  1016,       0.079712, 4.17172842411429596E-015, 2.32948198816145951E-015
  64,   32,          9,       12739,  1015,       0.617055, 7.84371903235489345E-015, 3.58665633228688736E-015
 128,   64,         10,       56481,  1014,       5.174261, 1.36132332979200357E-014, 7.25954096465892234E-015
 256,  128,         11,      244372,  1013,      43.957286, 2.54356383123943017E-014, 1.52081735016763319E-014
 512,  256,         12,     1058433,  1012,     377.906329, 3.90211094076507666E-014, 2.32888866527096858E-014
1024,  512,         14,     4472813,  1011,    3215.023657, 7.92454048246217491E-014, 5.07253483438286251E-014
2048, 1024,         15,    19120256,  1010,   27421.472950, 1.86449499593796379E-013, 1.26332786364870432E-013
4096, 2048,         16,    79085610,  1008,  227035.028974, 3.66606834343159913E-013, 2.01081696870735437E-013
