"RUN", "THge08", "N", "REDET_ε", "RECH_ε", "RESH_ε"
 1,   -3846995, 1073741824, 4.497626063956327462790E+0000, 1.455583774889456089780E+0001, 2.226276177695323869023E+0001
 2,   -3850015, 1073741824, 4.509937832981689696989E+0000, 1.447312279120538324911E+0001, 2.211021948669848603093E+0001
 3,   -3846712, 1073741824, 4.482156081381908865110E+0000, 1.430141499661732794711E+0001, 2.266482895090287232648E+0001
 4,   -3846553, 1073741824, 4.471061918673729311041E+0000, 1.444939890305262222537E+0001, 2.253345214389367917077E+0001
 5,   -3848570, 1073741824, 4.484024790848407892259E+0000, 1.476746156745841230892E+0001, 2.305444276260597301193E+0001
 6,   -3847089, 1073741824, 4.515378740963673603515E+0000, 1.453640317791929408519E+0001, 2.235395102676525579813E+0001
 7,   -3850243, 1073741824, 4.514699441245575135197E+0000, 1.413069343603105914759E+0001, 2.238486399185050676975E+0001
 8,   -3849281, 1073741824, 4.518985996629933067357E+0000, 1.449070356447984555043E+0001, 2.251277018671141890539E+0001
 9,   -3847394, 1073741824, 4.524285008003094731770E+0000, 1.434076290051734990929E+0001, 2.211731005305669066460E+0001
10,   -3850773, 1073741824, 4.458402866137461765817E+0000, 1.484623255854866069832E+0001, 2.361802946080446549816E+0001
11,   -3845587, 1073741824, 4.485437088301445303367E+0000, 1.463306462431818793660E+0001, 2.206812596921470906333E+0001
12,   -3847655, 1073741824, 4.484511027713490014519E+0000, 1.451934208255316487278E+0001, 2.206835501820565943476E+0001
13,   -3845372, 1073741824, 4.475120178645774969687E+0000, 1.467092555858018391479E+0001, 2.336867928474031000807E+0001
14,   -3846738, 1073741824, 4.464990328044184912141E+0000, 1.440881808458100312804E+0001, 2.289180437714866539264E+0001
15,   -3851639, 1073741824, 4.485400219842765562633E+0000, 1.478860868238973177302E+0001, 2.213967989034043978311E+0001
16,   -3846942, 1073741824, 4.501784992291014065300E+0000, 1.446030589768836157193E+0001, 2.291828937511568685339E+0001
17,   -3848695, 1073741824, 4.489008524645972765565E+0000, 1.475115672665887273754E+0001, 2.310917922008223568518E+0001
18,   -3846062, 1073741824, 4.514728449961365382139E+0000, 1.431544448749147558108E+0001, 2.221033217505151701001E+0001
19,   -3849086, 1073741824, 4.485092095902887935990E+0000, 1.445929520690532568085E+0001, 2.228060427626344391151E+0001
20,   -3844830, 1073741824, 4.502956414434430791586E+0000, 1.436657776201729615184E+0001, 2.194533539793283150793E+0001
21,   -3849514, 1073741824, 4.436142281264571261110E+0000, 1.494721641780654230591E+0001, 2.226312391125758360196E+0001
22,   -3845958, 1073741824, 4.505939311519016050614E+0000, 1.435697451848479028061E+0001, 2.227185030486557180832E+0001
23,   -3847175, 1073741824, 4.480543237499618578995E+0000, 1.453536877460804996817E+0001, 2.279828856671306874419E+0001
24,   -3849670, 1073741824, 4.493264506770882515924E+0000, 1.474359157201272961924E+0001, 2.337708901772924543141E+0001
25,   -3848733, 1073741824, 4.501556960748751183814E+0000, 1.457424700557276018807E+0001, 2.265876370922687204235E+0001
26,   -3849456, 1073741824, 4.473264784529867839522E+0000, 1.471589880202063912138E+0001, 2.231783461389494510720E+0001
27,   -3849407, 1073741824, 4.485949566987407590428E+0000, 1.512400584249705881089E+0001, 2.366267023633257261031E+0001
28,   -3848128, 1073741824, 4.486116374058131042075E+0000, 1.451180181609452659654E+0001, 2.285972089914289279826E+0001
29,   -3851172, 1073741824, 4.493119564393485723746E+0000, 1.435636146452077980619E+0001, 2.185503881532510107543E+0001
30,   -3848681, 1073741824, 4.511014129325092510213E+0000, 1.435857252153204465752E+0001, 2.215127952882123409048E+0001
31,   -3848560, 1073741824, 4.458336310083675390771E+0000, 1.431850788845878444169E+0001, 2.184152253864913915451E+0001
