         0, 2147483647,  1003, 1.63443022051959788E+304
         1,     130816,   999, 1.18260068623245316E+304
         2,     130816,   999, 1.18260068623245316E+304
         3,     130816,   999, 1.18260068623245316E+304
         4,     130816,   999, 1.18260068623245316E+304
         5,     130816,   999, 1.18260068623245316E+304
         6,     130780,   999, 1.18260068623245316E+304
         7,     129592,   999, 1.18260068623245316E+304
         8,      52590,   999, 1.18260068623245316E+304
         9,       2032,   999, 1.18260068623245316E+304
        10,          1,   999, 1.18260068623245316E+304
        11,          0,   999, 1.18260068623245316E+304
11,   999,     969075, 1.13187646245375998E-014
