         0, 2147483647,  1003, 1.63443022051959788E+304
         1,     130816,  1001, 2.09683316677463669E+304
         2,     130816,  1001, 2.09705542380208652E+304
         3,     130816,  1001, 2.09705542380208652E+304
         4,     130816,  1001, 2.09705542380208652E+304
         5,     130816,  1001, 2.09705542380208652E+304
         6,     130816,  1001, 2.09705542380208652E+304
         7,     130816,  1001, 2.09705542380208652E+304
         8,     130816,  1001, 2.09705542380208652E+304
         9,     130816,  1001, 2.09705542380208652E+304
        10,     123873,  1001, 2.09705542380208652E+304
        11,      27768,  1001, 2.09705542380208652E+304
        12,         41,  1001, 2.09705542380208652E+304
        13,          0,  1001, 2.09705542380208652E+304
13,  1001,    1329026, 4.08790638723553854E-014
