"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
4096,    0,         16,    71056385,  1008,    4895.859803, 9.85890144011379536E-012, 4.75911075473625856E-014, 5.83283541425678601E-012, 2.72882419982492981E-012
4096,  512,         16,    74488423,  1008,    4947.020970, 1.05981667737518426E-011, 1.18731534678460419E-013, 5.75086230261860149E-012, 2.66928974273399760E-011
4096, 1024,         17,    79464370,  1008,    5257.247534, 1.36062090197933685E-011, 1.85942892240189816E-013, 6.05481668747972675E-012, 5.72518567839694612E-011
4096, 1536,         17,    84446265,  1008,    5363.697018, 2.23939773055595051E-011, 2.18927735236297559E-013, 6.84419533654785897E-012, 1.09477813484056611E-010
4096, 2048,         17,    82367916,  1008,    5299.378218, 7.92445502136071620E-012, 2.17876929173150519E-013, 7.24696174679865497E-012, 1.46588269619012608E-010
4096, 2560,         16,    83905993,  1008,    5119.303371, 6.80264467577506183E-012, 2.14906917031693234E-013, 6.27753060343814164E-012, 8.60011538418483345E-011
4096, 3072,         18,    79685755,  1008,    5484.036322, 8.87036344159586654E-012, 1.77871757440723849E-013, 5.84654650609455241E-012, 5.38827558818281184E-011
4096, 3584,         16,    73906920,  1008,    4936.179168, 1.09878334433133034E-011, 9.90514833298650616E-014, 6.06344582529218458E-012, 3.36726220774898532E-011
