         0, 2147483647,  1018, 2.05427344491921388E+306
         1,         28,  1018, 4.73855133892739311E-001
         2,         28,  1018, 9.83450480719688519E-002
         3,         28,  1018, 6.79480450009136913E-003
         4,         28,  1018, 1.03902768865752866E-005
         5,         11,  1018, 1.07758238395094880E-014
         6,          0,  1018, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 5.34577191878860600E-016
          2, 4.55201506176204632E-016
          3, 8.70464032520525285E-016
          4, 1.14877538857747804E-015
          5, 4.57243172862919829E-016
          6, 4.56393221184952224E-016
          7, 6.25017980132021016E-016
          8, 6.54627677127539100E-016
         -4, 1.14877538857747804E-015
          0, 9.36277002677088079E-016
