         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8386560,  1007, 1.46339642518861446E-001
         2,    8386560,  1007, 1.90786054596669780E-001
         3,    8386560,  1007, 1.73896993983741782E-001
         4,    8386560,  1007, 1.75788533326368124E-001
         5,    8386560,  1007, 2.04852274050783822E-001
         6,    8386560,  1007, 2.46238181743316020E-001
         7,    8386560,  1007, 1.07924920071915242E-002
         8,    8377156,  1007, 6.97934264850175851E-004
         9,    7899818,  1007, 1.00686834927328882E-005
        10,    7186374,  1007, 4.56441010879234798E-009
        11,    5547841,  1007, 1.23530199664298577E-012
        12,     800229,  1007, 3.72004542353019062E-015
        13,     158510,  1007, 3.60042997935715332E-015
        14,       7676,  1007, 3.56760264901201891E-015
        15,         63,  1007, 3.55581399744194157E-015
        16,          2,  1007, 0.00000000000000000E+000
        17,          3,  1007, 3.44219696983201006E-015
        18,          0,  1007, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.34657530086678941E-015
          2, 8.20757825497818983E-015
          3, 8.40492986616503151E-015
          4, 1.36952225170355929E-014
          5, 1.06221742419901316E-014
          6, 8.87190803775452458E-015
          7, 9.58861778668344061E-015
          8, 8.97765231399987645E-015
          9, 1.11364835260048826E-014
         10, 1.03831158568382957E-014
         11, 8.93475906464052104E-015
         12, 1.61836574344747721E-014
         13, 1.26954820247335991E-014
         14, 1.05184128276648604E-014
         15, 1.29461049126391485E-014
         16, 1.15032637760568448E-014
         17, 1.03077520148361322E-014
         18, 1.06811180418716615E-014
         19, 1.15307107928517659E-014
         20, 1.04863815189978985E-014
         21, 1.14608169219395018E-014
         22, 1.30322987021700004E-014
         23, 1.22906599536325688E-014
         24, 1.11250320215027079E-014
         25, 1.05243871211392251E-014
         26, 1.18158323930413015E-014
         27, 1.12199238366678354E-014
         28, 1.12500613829827140E-014
         29, 1.17516626390845420E-014
         30, 1.11553979156418450E-014
         31, 1.31621002165973556E-014
         32, 1.19060308033190642E-014
         33, 1.20863541365489928E-014
         34, 1.33430564091318288E-014
         35, 1.15747549561134674E-014
         36, 1.20788121334781887E-014
         37, 1.76321830406371672E-014
         38, 1.24315501218159410E-014
         39, 1.21422285375473434E-014
         40, 1.23968048000734687E-014
         41, 1.32256196967898495E-014
         42, 1.29533462158686262E-014
         43, 1.26837780225436196E-014
         44, 1.75115983446994198E-014
         45, 1.28957101461638434E-014
         46, 1.31668331057102529E-014
         47, 1.32213045251039345E-014
         48, 1.33532715560434530E-014
         49, 1.76047669029023949E-014
         50, 1.42781960104752586E-014
         51, 1.59470796642888660E-014
         52, 1.48717512914894570E-014
         53, 1.45117233791926309E-014
         54, 1.50945401528519405E-014
         55, 1.88299424716694281E-014
         56, 1.39009468041690646E-014
         57, 1.42126810596842034E-014
         58, 1.34563801428429541E-014
         59, 2.13925957731335722E-014
         60, 1.36913481844190077E-014
         61, 1.37928445554691879E-014
         62, 1.52799780752435504E-014
         63, 1.50678823650850654E-014
         64, 1.47861292750114318E-014
         65, 1.84659838744635435E-014
         66, 1.56507444353780166E-014
         67, 1.45082930209891787E-014
         68, 1.89554748506527898E-014
         69, 1.89898336956800601E-014
         70, 1.84934325358377734E-014
         71, 1.55824511487420733E-014
         72, 1.70258390013149136E-014
         73, 1.71834235168866197E-014
         74, 1.68465255730283310E-014
         75, 1.46159380924205591E-014
         76, 1.89449177054410015E-014
         77, 1.94002118049067600E-014
         78, 1.57772892820224175E-014
         79, 1.89186479384397280E-014
         80, 1.98059288931362638E-014
         81, 1.56431172657273201E-014
         82, 1.59556883107272452E-014
         83, 1.70216524719606132E-014
         84, 2.19960811603581835E-014
         85, 1.90079121013723621E-014
         86, 2.24079524838783230E-014
         87, 1.84734830151103814E-014
         88, 1.71823375257862958E-014
         89, 1.95396462529250933E-014
         90, 1.87719062935173802E-014
         91, 1.89733947316049371E-014
         92, 2.20619010554156875E-014
         93, 1.71844155256699749E-014
         94, 1.85698206284606412E-014
         95, 1.65453312744893214E-014
         96, 2.00502128158278030E-014
         97, 2.16973605133501932E-014
         98, 2.17559227579143171E-014
         99, 2.31112624618580849E-014
        100, 2.04086498222504798E-014
        101, 1.99800772865866438E-014
        102, 2.05566885507543003E-014
        103, 2.23234014315002600E-014
        104, 1.93277800307923464E-014
        105, 2.09474619840448443E-014
        106, 2.17265997235710307E-014
        107, 1.99057716642316058E-014
        108, 1.96969696109554986E-014
        109, 1.98909354134991769E-014
        110, 1.79129241611945847E-014
        111, 2.22456221979819037E-014
        112, 2.06273782620683758E-014
        113, 2.09940235363597624E-014
        114, 1.89975886049678955E-014
        115, 1.98217415001882347E-014
        116, 1.95541430685877872E-014
        117, 1.96982682319527258E-014
        118, 2.07014633644317586E-014
        119, 2.18437150796586741E-014
        120, 2.07342619028617726E-014
        121, 2.19284582312886888E-014
        122, 2.03647013456883217E-014
        123, 2.01969212951744627E-014
        124, 2.07840195951777403E-014
        125, 2.26632883847495164E-014
        126, 2.25486882315983682E-014
        127, 2.24570251614827134E-014
        128, 2.17663876406682239E-014
        129, 2.20402774196829889E-014
        130, 2.40895369812811128E-014
        131, 2.19063676029093686E-014
        132, 2.31529941622227339E-014
        133, 2.33417847571387498E-014
        134, 2.41141750432333233E-014
        135, 2.36711272336777664E-014
        136, 2.37109776960657091E-014
        137, 2.26206788656900411E-014
        138, 2.54232161836769995E-014
        139, 2.29326526458401538E-014
        140, 2.26322102650612150E-014
        141, 2.29386282766731642E-014
        142, 2.47577543206159872E-014
        143, 2.48956915320837171E-014
        144, 2.50969912590196736E-014
        145, 2.33265237557296004E-014
        146, 2.45992356741960499E-014
        147, 2.52851160754254690E-014
        148, 2.57515678300186211E-014
        149, 2.54411381139731061E-014
        150, 2.52637302037315187E-014
        151, 2.67643130542945105E-014
        152, 2.69180953299462953E-014
        153, 2.65672765414997211E-014
        154, 2.78086028281415456E-014
        155, 2.79682334370688602E-014
        156, 2.78927329831209627E-014
        157, 2.72638465415091198E-014
        158, 2.84364358245469858E-014
        159, 3.06592392887991661E-014
        160, 2.91187740716118839E-014
        161, 2.94713457484895888E-014
        162, 2.86525844392291928E-014
        163, 2.78755920718906411E-014
        164, 3.00353928917547030E-014
        165, 2.92637086058295064E-014
        166, 3.16413109250874606E-014
        167, 3.14042746155902117E-014
        168, 3.07270209934809595E-014
        169, 3.26896954980947229E-014
        170, 3.36406962750196277E-014
