"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "MAXREΛ", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
4096,    0,         17,    72497687,  1008,    5148.875737, 0.00000000000000000E+000, 1.16523200569437481E-011, 4.30523456151648135E-014, 5.87969487574300039E-012, 2.76403392902837335E-012
4096,  512,         17,    75774888,  1008,    5184.191975, 0.00000000000000000E+000, 9.78843423788704515E-012, 1.13435085943054967E-013, 5.92650025085338300E-012, 2.55058202660938718E-011
4096, 1024,         16,    79946400,  1008,    5049.740574, 0.00000000000000000E+000, 1.29204449747433752E-011, 1.92162745601436556E-013, 6.55951895308963803E-012, 7.29762302294790930E-011
4096, 1536,         17,    85868610,  1008,    5380.470204, 0.00000000000000000E+000, 1.60210485573633221E-011, 2.50857949602790567E-013, 6.53992253569076548E-012, 1.17188201339301836E-010
4096, 2048,         16,    78947342,  1008,    5012.034563, 0.00000000000000000E+000, 6.35460234108078060E-012, 2.03689278928946855E-013, 6.03927934333846342E-012, 1.29879446298117003E-010
4096, 2560,         18,    88265122,  1008,    5641.920561, 0.00000000000000000E+000, 8.61121287751570793E-012, 2.52578826901890427E-013, 6.11051734179159616E-012, 9.23409553495227928E-011
4096, 3072,         17,    83938972,  1008,    5341.309166, 0.00000000000000000E+000, 1.14234556758359627E-011, 1.91350989088007852E-013, 6.51416011585752272E-012, 6.77452628091732432E-011
4096, 3584,         17,    77279774,  1008,    5213.259946, 0.00000000000000000E+000, 1.16919397905411435E-011, 1.04240584881448047E-013, 5.50593848737343874E-012, 2.46044552307090035E-011
