         0, 2147483647,  1008, 3.26729660994224846E+303
         1,    8390642,  1007, 2.14373724088805062E-001
         2,    8390602,  1007, 4.82540426167240466E-001
         3,    8390573,  1007, 7.22949520271856327E-001
         4,    8390558,  1007, 8.00000000000000044E-001
         5,    8390455,  1007, 1.92751905577969757E-001
         6,    8389812,  1007, 9.42007708025151096E-003
         7,    8388572,  1007, 1.50805566598993801E-004
         8,    8387289,  1007, 7.70066363820409856E-007
         9,    8379927,  1007, 2.11908070351688938E-009
        10,    6019075,  1007, 1.30981608374308554E-012
        11,    1243314,  1007, 3.88561156653285629E-015
        12,     259538,  1007, 3.60554799828916496E-015
        13,      22488,  1007, 3.58817687964509190E-015
        14,        165,  1007, 3.56609946589908627E-015
        15,         25,  1007, 3.55776837505819715E-015
        16,          5,  1007, 3.56048162918698450E-015
        17,          1,  1007, 0.00000000000000000E+000
        18,          0,  1007, 0.00000000000000000E+000
