         0, 2147483647,  1009, 6.65184704434397196E+303
         1,    8390648,  1008, 0.00000000000000000E+000
         2,    8390637,  1008, 0.00000000000000000E+000
         3,    8390506,  1008, 0.00000000000000000E+000
         4,    8390130,  1008, 0.00000000000000000E+000
         5,    8389497,  1008, 0.00000000000000000E+000
         6,    8388754,  1008, 0.00000000000000000E+000
         7,    8336654,  1008, 0.00000000000000000E+000
         8,    6514861,  1008, 0.00000000000000000E+000
         9,    4232894,  1008, 0.00000000000000000E+000
        10,    2233677,  1008, 0.00000000000000000E+000
        11,     760326,  1008, 0.00000000000000000E+000
        12,      99893,  1008, 0.00000000000000000E+000
        13,       1580,  1008, 0.00000000000000000E+000
        14,         53,  1008, 0.00000000000000000E+000
        15,          5,  1008, 0.00000000000000000E+000
        16,          1,  1008, 0.00000000000000000E+000
        17,          0,  1008, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.70150984455892107E-014
          2, 1.50434032911271647E-014
          3, 1.87725090600643943E-014
          4, 1.72579069443844181E-014
          5, 1.43792688159727610E-014
          6, 2.63286525292832231E-014
          7, 2.12184703657768578E-014
          8, 1.97114655443839525E-014
          9, 1.01794255412508240E-014
         10, 2.49385594757760534E-014
         11, 2.13649352917318365E-014
         12, 1.26016391322702560E-014
         13, 2.17794812475661811E-014
         14, 1.62549502246315589E-014
         15, 1.76733871053501915E-014
         16, 3.51815443710809786E-014
         17, 2.40551655786903520E-014
         18, 2.32780222446109195E-014
         19, 2.39997472970682742E-014
         20, 1.90822502385957877E-014
         21, 1.75864061224898226E-014
         22, 1.86449192841729773E-014
         23, 3.51281927769846751E-014
         24, 3.34859676771609698E-014
         25, 3.48884241678952890E-014
         26, 2.88952688219660797E-014
         27, 2.87569169191300395E-014
         28, 2.14505673933688745E-014
         29, 2.75808438879598909E-014
         30, 2.52827985993451965E-014
         31, 2.18557202902230899E-014
         32, 2.96401661941595599E-014
         33, 2.75594746274617040E-014
         34, 2.57099492781118564E-014
         35, 3.68792782237057060E-014
         36, 2.01180633237002140E-014
         37, 2.69325298281792986E-014
         38, 2.60813832102422209E-014
         39, 3.61851118040702553E-014
         40, 2.95339609767646272E-014
         41, 2.27586808054151419E-014
         42, 2.58815764089414917E-014
         43, 4.66780642667803867E-014
         44, 1.78749852782796733E-014
         45, 2.99509070997779249E-014
         46, 4.52989348460145179E-014
         47, 2.73190686905702891E-014
         48, 3.42376994486859379E-014
         49, 2.76318058019342881E-014
         50, 3.07438558005775378E-014
         51, 3.88182263071239437E-014
         52, 2.64153934942184720E-014
         53, 4.04340098054204417E-014
         54, 3.81215969092995142E-014
         55, 1.60045272411456377E-014
         56, 2.72027049490636260E-014
         57, 2.10557306433381400E-014
         58, 3.48594726090452838E-014
         59, 1.90551843929892343E-014
         60, 2.20985733694447664E-014
         61, 3.15592033412192334E-014
         62, 2.68491807569441955E-014
         63, 3.73941286812995698E-014
         64, 3.46606794752680635E-014
         65, 3.40565905839814699E-014
         66, 2.70099601491181821E-014
         67, 3.36159113001424814E-014
         68, 3.31920216424087116E-014
         69, 1.94084492223896058E-014
         70, 2.38318434029466200E-014
         71, 2.31482486979420237E-014
         72, 3.76267377064150012E-014
         73, 3.50188908141008536E-014
         74, 3.50724479105518226E-014
         75, 3.14254156418622578E-014
         76, 3.14772847050657383E-014
         77, 3.05070476327649612E-014
         78, 2.52049739888339862E-014
         79, 3.17350524393901853E-014
         80, 2.52512690075727854E-014
         81, 3.61451098026290203E-014
         82, 2.97020423130116143E-014
         83, 2.57772949715276586E-014
         84, 2.70871521275356944E-014
         85, 3.60089613376518169E-014
         86, 2.72034479407378321E-014
         87, 1.82886287213553997E-014
         88, 3.78104489228281735E-014
         89, 3.37375555743840218E-014
         90, 2.79355563719280791E-014
         91, 2.23576117735670378E-014
         92, 3.05716691836514811E-014
         93, 2.85020389419786152E-014
         94, 2.49364512388057661E-014
         95, 2.84560918524164586E-014
         96, 2.97104369741636353E-014
         97, 3.53220816026169596E-014
         98, 3.26357109368895966E-014
         99, 2.42362596586713034E-014
        100, 3.19865643820256004E-014
        101, 2.08892464510947763E-014
        102, 1.61441088788388596E-014
        103, 2.58912407391318125E-014
        104, 2.67227466301782301E-014
        105, 2.91743359750349180E-014
        106, 2.51094181774583063E-014
        107, 2.50001038554741735E-014
        108, 2.58881653387152955E-014
        109, 1.85209983828404543E-014
        110, 3.61258410957518838E-014
        111, 2.35804354543140226E-014
        112, 2.73354537775017672E-014
        113, 3.65176454806260397E-014
        114, 1.48990742205920915E-014
        115, 2.66730049704843969E-014
        116, 1.48392092736699656E-014
        117, 1.85930256890145572E-014
        118, 2.60254556207830563E-014
        119, 1.91677589934994657E-014
        120, 2.06808835724536732E-014
        121, 2.63882761894741181E-014
        122, 2.86259051954725433E-014
        123, 2.80414391711085303E-014
        124, 1.80598208296059450E-014
        125, 2.04885562061963266E-014
        126, 2.78551355741868580E-014
        127, 2.97294895953714063E-014
        128, 1.36805322364160269E-014
        129, 1.66657174614960063E-014
        130, 3.15745316442891658E-014
        131, 1.33892018653560172E-014
        132, 1.83025371090290139E-014
        133, 3.38507496000546773E-014
        134, 1.66448059713212346E-014
        135, 2.39365439440297641E-014
        136, 1.90460044912123118E-014
        137, 2.24704447307568977E-014
        138, 2.74285345115132088E-014
        139, 2.34483018837509927E-014
        140, 2.65857221935194450E-014
        141, 1.60018797520585062E-014
        142, 2.75741340431365614E-014
        143, 1.34297392597058469E-014
        144, 2.12021402927187951E-014
        145, 2.21514799272934269E-014
        146, 2.06974620399453656E-014
        147, 2.74010598072175034E-014
        148, 1.68795323830236111E-014
        149, 1.51939355957361383E-014
        150, 2.54164032236356528E-014
        151, 2.73533529873944103E-014
        152, 2.13094640116963474E-014
        153, 3.20898186321481518E-014
        154, 1.63409928810240937E-014
        155, 2.93581016033927220E-014
        156, 1.86326633411182122E-014
        157, 2.41097310737820520E-014
        158, 2.60510021634162027E-014
        159, 1.37600315538241060E-014
        160, 1.83069424323791000E-014
        161, 2.98713675203265850E-014
        162, 2.10727974432644043E-014
        163, 2.25728995534652629E-014
        164, 1.85938065320903746E-014
        165, 1.90561844887190448E-014
        166, 1.96031238458379673E-014
        167, 2.15871237934704402E-014
        168, 1.40377998220621292E-014
        169, 2.88172158939504687E-014
        170, 1.54849330211615843E-014
        171, 2.36701760273103313E-014
        172, 1.77367987105641295E-014
        173, 2.39841163742856521E-014
        174, 2.04463704958089690E-014
        175, 1.99574942245800988E-014
        176, 3.23820316520690514E-014
        177, 2.51451402909138809E-014
        178, 1.62250253535567988E-014
