         0, 2147483647,  1018, 2.19265235343367102E+306
         1,        120,  1018, 5.89932330009611761E-001
         2,        120,  1018, 1.05658966027131679E-001
         3,        120,  1018, 7.22900593607711875E-003
         4,        120,  1018, 5.68492897904424808E-005
         5,         93,  1018, 1.21911373173198614E-009
         6,          6,  1018, 0.00000000000000000E+000
         7,          0,  1018, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 8.84679695343793536E-016
          2, 1.25886265847072334E-015
          3, 1.32024094898327343E-015
          4, 1.20430749210536967E-015
          5, 2.04093509826176835E-015
          6, 1.09103516811927687E-015
          7, 1.71775347702725274E-015
          8, 1.02026192466791992E-015
          9, 1.00128096950881516E-015
         10, 1.41619533000547042E-015
         11, 1.24231543070560302E-015
         12, 1.15822820894454376E-015
         13, 1.17983101334269425E-015
         14, 1.58498488101557981E-015
         15, 1.87154803752222041E-015
         16, 2.85407866077126957E-015
        -16, 2.85407866077126957E-015
          0, 1.39621591027723548E-015
