"N", "J", "SWEEPS", "TRANSFS", "GS", "TIMEs", "max||GVj-UjΣj||_F", "||G-UΣV^-1||_F/||G||_F", "||U^HU-I||_F", "||V^HJV-J||_F"
4096,    0,         16,    72576954,  1008,    4518.911639, 1.05905289888801407E-011, 5.46390029201764312E-014, 5.88408855158113776E-012, 2.80046715425652285E-012
4096,  512,         16,    75784726,  1008,    4570.214150, 9.98670971116298956E-012, 1.22577658329768520E-013, 5.82962673431294964E-012, 2.51997709488815512E-011
4096, 1024,         16,    79848476,  1008,    4656.059261, 1.20933143959995793E-011, 1.95218474694939691E-013, 6.57598431692847507E-012, 7.18951928318007736E-011
4096, 1536,         17,    85805074,  1008,    4942.847099, 1.74597305297625464E-011, 2.53342907094645786E-013, 6.57148155258225135E-012, 1.18419292791465068E-010
4096, 2048,         17,    78953756,  1008,    4813.385290, 5.95249449107638846E-012, 2.05580401156695181E-013, 6.13984808635761919E-012, 1.30367910610186923E-010
4096, 2560,         19,    88212777,  1008,    5389.702020, 8.89681675837530124E-012, 2.54243592465712323E-013, 5.95185639038980351E-012, 9.28746205131533994E-011
4096, 3072,         16,    83928167,  1008,    4713.985794, 1.15881430820010827E-011, 1.96930789148935528E-013, 6.54885267033316516E-012, 6.75265446540631296E-011
4096, 3584,         15,    77184610,  1008,    4398.771802, 1.03056000866014020E-011, 1.13926719165382901E-013, 5.51469863955405581E-012, 2.46848694986061188E-011
