         0, 2147483647,  1016, 5.77189218761696596E+305
         1,        496,  1016, 4.81610481893973319E-001
         2,        496,  1016, 2.94398716220383994E-001
         3,        496,  1016, 8.32420118550113164E-002
         4,        496,  1016, 2.79170012594953621E-003
         5,        496,  1016, 1.53936602411978175E-005
         6,        422,  1016, 3.36649320680167189E-010
         7,         29,  1016, 0.00000000000000000E+000
         8,          0,  1016, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 2.59211856829108773E-015
          2, 3.71765847862867736E-015
          3, 2.57856110185801951E-015
          4, 3.34801000682624509E-015
          5, 4.10960542797368314E-015
          6, 4.32952837051622689E-015
          7, 4.41607370518170554E-015
          8, 6.00779866291335618E-015
          9, 3.62286554261683430E-015
         10, 3.86135508109755972E-015
         11, 4.79389431623331095E-015
         12, 4.05833265385106998E-015
         13, 5.51346886388726539E-015
         14, 6.79926406211901610E-015
         15, 5.30713824785064750E-015
         16, 1.12279250121442860E-014
         17, 2.70745522857385909E-015
         18, 2.40558161386223936E-015
         19, 2.45946807920741336E-015
         20, 3.08643011453773650E-015
         21, 2.48506695178274649E-015
         22, 3.43681777228060527E-015
         23, 4.39544028868903016E-015
         24, 4.09957871935373249E-015
         25, 4.17206310437162932E-015
         26, 5.08107122921713850E-015
         27, 6.22085074889711326E-015
         28, 4.76261330966350871E-015
         29, 4.84581095231576703E-015
         30, 7.08607121244111604E-015
         31, 3.94654193013623162E-015
         32, 1.08145465071623541E-014
        -16, 1.12279250121442860E-014
          0, 2.51413918367704083E-015
