         0, 2147483647,  1017, 1.16566479147600582E+306
         1,        124,  1017, 5.51872035393221383E-001
         2,        124,  1017, 1.37100361788357245E-001
         3,        120,  1017, 1.08571951338049810E-002
         4,        120,  1017, 1.60894538833147963E-004
         5,        108,  1017, 4.56571348841056267E-008
         6,         20,  1017, 2.57366651657418052E-016
         7,          0,  1017, 0.00000000000000000E+000
"j", "||(G*V)j - (U*Σ)j||_F / Σj"
          1, 1.64463718597273092E-015
          2, 9.46311097957444255E-016
          3, 1.02990004715806866E-015
          4, 2.43397594969075558E-015
          5, 1.44309929766058373E-015
          6, 1.45976563203757097E-015
          7, 2.26568123481940168E-015
          8, 3.36266561337074139E-015
          9, 1.86119974868829668E-015
         10, 1.47777908346725065E-015
         11, 1.75817511688645534E-015
         12, 1.17879401857727500E-015
         13, 2.59283915816541235E-015
         14, 1.61460770252816218E-015
         15, 3.17187797894091376E-015
         16, 5.83424140202526041E-015
        -16, 5.83424140202526041E-015
          0, 1.69662570445098506E-015
